e, e_dot, e_int, stamp, 
0.25598568607895933, -0.2408193203913217, 0.05569906270085614, 3159213000000, 
0.25449215935399266, 0.010744623721552679, 0.05078310784469858, 3159281000000, 
0.2552587342580629, -0.0024231727363214586, 0.05104910531273432, 3159349000000, 
0.2517384258765241, -0.009179111591561817, 0.050765954632571976, 3159451000000, 
0.24985490791912363, -0.018012754463130887, 0.05045680453691405, 3159519000000, 
0.25521432131347754, 0.011586318123178082, 0.050453843673941685, 3159587000000, 
0.25597215964467096, 0.02039083908515778, 0.05073609259181813, 3159621000000, 
0.2567366623463197, 0.005074470109473854, 0.05119487622029788, 3159723000000, 
0.2578861621550558, 0.006380008367949386, 0.051372998943069764, 3159791000000, 
0.2591430712795358, 0.008021363110720289, 0.05158439305206075, 3159893000000, 
0.25972935420327453, 0.00614397349406252, 0.05178390584252441, 3159927000000, 
0.2603996742693211, 0.004188676632617683, 0.05195147331680876, 3159995000000, 
0.2616371495455764, 0.006359317807672811, 0.05211774520121147, 3160097000000, 
0.2627863481840734, 0.007955579715841118, 0.05232154479993139, 3160165000000, 
0.26397465677120935, 0.00779169075210991, 0.05255987696672394, 3160233000000, 
0.2653132105102246, 0.008422874420503934, 0.05280494769770049, 3160301000000, 
0.2668042744505845, 0.009432058931250578, 0.05307280944880123, 3160369000000, 
0.26846658900426734, 0.01051126164680912, 0.053372271597671765, 3160437000000, 
0.27119661919638044, 0.014641149152653058, 0.05376449884341549, 3160539000000, 
0.27217871363759866, 0.012373748777771051, 0.05412279478921643, 3160573000000, 
0.27428114541873183, 0.010281754074504637, 0.05451043188351406, 3160641000000, 
0.2765596793196574, 0.014603218940195858, 0.054867969225065864, 3160709000000, 
0.280329340182775, 0.020160649213477228, 0.055411344328077615, 3160811000000, 
0.2831032492542584, 0.021811899782003263, 0.05599948458377938, 3160879000000, 
0.2860567002278016, 0.019091200150088694, 0.056632619310988994, 3160947000000, 
0.28930900659437464, 0.02068585780038749, 0.05723126373842898, 3161015000000, 
0.2928157119952936, 0.02253003922497332, 0.05787876125449799, 3161083000000, 
0.2965716794378121, 0.024208909478124856, 0.0585797598684987, 3161151000000, 
0.3005785512788821, 0.025876130945295023, 0.05933106284746585, 3161219000000, 
0.3049001735539941, 0.027761647053940092, 0.06013669361804589, 3161287000000, 
0.309615294884266, 0.030122478684612892, 0.061006267981142816, 3161355000000, 
0.3147195743827813, 0.03273133609595728, 0.06194900285473609, 3161423000000, 
0.001237006706267918, -1.0279276272599935, 0.04170479173155435, 3161491000000, 
-0.003950152392877437, -1.062232422585529, 0.020800428579744786, 3161559000000, 
-0.00935653477445686, -0.03531180493574926, -0.000804645364071092, 3161627000000, 
-0.015006196348032241, -0.03685347985051601, -0.0018875255676911026, 3161695000000, 
-0.02092422680740391, -0.03855897344315684, -0.003019130528659534, 3161763000000, 
-0.027137166606730767, -0.040436567528995083, -0.004204505984144461, 3161831000000, 
-0.012592955903701797, 0.027770903012340382, -0.004043623287855765, 3161899000000, 
-0.00501485368539778, 0.07374104307110996, -0.002982998413055356, 3161933000000, 
0.003199756635215545, 0.05264237512972447, -0.0009605368635922688, 3162001000000, 
0.0024850676697082408, 0.024999737850353403, 4.466470796840039e-05, 3162103000000, 
0.0036489176680537527, 0.0014972034427940262, 0.0006222494648651692, 3162137000000, 
0.0036912214849075253, 0.0040205127173309485, 0.000655013788177968, 3162205000000, 
0.005009591352470921, 0.004535578948057228, 0.0008233153670288133, 3162273000000, 
0.003691257131685166, 1.188225921359513e-07, 0.0008261379979375742, 3162341000000, 
0.002910578095999372, -0.006996710854905164, 0.0007740951053436973, 3162443000000, 
0.002800411814802062, -0.0029694843896103476, 0.0006268164694991067, 3162511000000, 
0.0028243437368767887, -0.0002874478637419446, 0.0005690222431785481, 3162579000000, 
0.0028161381228428706, 5.242102680269589e-05, 0.0005627262449681147, 3162681000000, 
0.002793534454961333, -0.00010269760638485319, 0.0005622677543120661, 3162749000000, 
-0.41673586937344, -1.398506691654276, -0.02740841311970905, 3162851000000, 
-0.4232837016601543, -1.420257453717052, -0.05581506910524219, 3162885000000, 
-0.43706741782629444, -0.0677718281761815, -0.08513913259065925, 3162953000000, 
-0.4517047159121713, -0.09473671417339014, -0.08747038902657467, 3163021000000, 
-0.467286772190755, -0.1007311812148685, -0.09040392706194805, 3163089000000, 
-0.48388733646640203, -0.10727540184743571, -0.09352525497128855, 3163157000000, 
-0.49423406018633553, -0.08982429331860182, -0.09636054458956617, 3163225000000, 
-0.4782266451498799, 0.01886897105507379, -0.09708986945350784, 3163293000000, 
-0.4834072621268325, 0.03608932686501013, -0.09705786449753653, 3163327000000, 
-0.5009798308537244, -0.07584395234614849, -0.09750758254202913, 3163429000000, 
-0.514789641620799, -0.10460793164655498, -0.0999451156400904, 3163497000000, 
-0.526824853768422, -0.0861500763823253, -0.1028396217495297, 3163565000000, 
-0.5418429981372748, -0.09017785505491926, -0.10556383290176638, 3163633000000, 
-0.5594905128907671, -0.10888553040781697, -0.10854389098643091, 3163701000000, 
-0.5793486882586679, -0.12501896707131052, -0.11204547995244732, 3163769000000, 
-0.5996984046962068, -0.13402630601813237, -0.11590250705637613, 3163837000000, 
-0.6217117480966932, -0.14121019946008415, -0.12005058940343785, 3163905000000, 
-0.4519168093207827, 0.49260531791808043, -0.11155513080757885, 3163973000000, 
-0.45886685384703685, 0.542816314165521, -0.10216636075096752, 3164041000000, 
-0.46615139799604466, -0.047448628917539835, -0.09179567074425761, 3164109000000, 
-0.4742470152637658, -0.05126720472242977, -0.09328435114045648, 3164177000000, 
-0.48230585742446674, -0.053848198094740285, -0.09484695137895181, 3164245000000, 
-0.49137617487926755, -0.057097198718339216, -0.09652860317116667, 3164313000000, 
-0.5153390714005549, -0.1101107132536272, -0.09926807358028596, 3164381000000, 
-0.5371348771364549, -0.1525290075239579, -0.10292334156108517, 3164449000000, 
-0.5567799979266972, -0.1381364217538076, -0.1072835964309138, 3164517000000, 
-0.6528637230335337, -0.3857628196569292, -0.11645190653977905, 3164585000000, 
-0.6610168542951926, -0.34745618789498484, -0.12471070501702823, 3164619000000, 
-0.6766913821296997, -0.0794255303205534, -0.1327047972972284, 3164687000000, 
-0.6941797238012962, -0.11054289835367863, -0.13545919734841258, 3164755000000, 
-0.7114039147983365, -0.11570844222878944, -0.13881833471528884, 3164823000000, 
