e, e_dot, e_int, stamp, 
1.4870624519467512, 7.268113888514449e-08, 0.29741248839482176, 3149863000000, 
1.4870624325010402, -3.777375153409442e-08, 0.2974124885520638, 3149897000000, 
1.4870624121403884, -1.3268787624198808e-07, 0.297412486439212, 3149965000000, 
1.4870624154623284, -5.6795705916101724e-08, 0.2974124840069171, 3150033000000, 
1.487062452646576, 1.3502062579107132e-07, 0.29741248534995285, 3150101000000, 
1.4898824417034542, 0.009400087470419205, 0.2976004873208239, 3150169000000, 
1.494937245528625, 0.026249309606829474, 0.29812547599191036, 3150237000000, 
1.5029132692456295, 0.04343609180725109, 0.2991821970985139, 3150339000000, 
1.5080807563224101, 0.04381170264595058, 0.300395418073111, 3150407000000, 
1.5155991586933741, 0.04228629815914875, 0.3017728789507609, 3150509000000, 
1.5204460417285035, 0.041217618020311285, 0.30294173044961925, 3150577000000, 
1.5251517995662576, 0.031842136242944775, 0.30407979999920903, 3150645000000, 
1.5297126015937015, 0.030888532883993253, 0.3050206961925641, 3150713000000, 
1.534128676756065, 0.029922923966024435, 0.30593287186106827, 3150781000000, 
1.538398308538984, 0.0289523564842753, 0.30681597245925, 3150849000000, 
1.5404768392650368, 0.02116054169657285, 0.30753358830400573, 3150883000000, 
1.5464839128926122, 0.026952014512093836, 0.30835727071310887, 3150985000000, 
1.5502962836506238, 0.032731481285290055, 0.3091504690538848, 3151053000000, 
1.5521446948547326, 0.018869273207067955, 0.30992832609319787, 3151087000000, 
1.5557248063515543, 0.018095075669768423, 0.3105443856571274, 3151155000000, 
1.5591474405500596, 0.023342485651089984, 0.31113446278375645, 3151223000000, 
1.56241046471303, 0.02228552787158537, 0.3118188474409762, 3151291000000, 
1.5655111275884364, 0.02121229012792251, 0.3124712688567684, 3151359000000, 
1.5698547054914396, 0.024814135928032204, 0.3131850865195271, 3151461000000, 
1.5725418539314557, 0.023435754476731258, 0.31386051246742214, 3151529000000, 
1.575060590800343, 0.01735295102967808, 0.3144971433482159, 3151597000000, 
1.577410605662841, 0.016229172437950783, 0.31500087002630933, 3151665000000, 
1.5795917448307137, 0.015103846767902477, 0.31547086275292646, 3151733000000, 
1.581603370593187, 0.013975883101153089, 0.3159070480724494, 3151801000000, 
1.583445533653275, 0.012845962741870517, 0.316309376605145, 3151869000000, 
1.5851181929681954, 0.011716074583361843, 0.31667780648097715, 3151937000000, 
1.5866203220633919, 0.010582628033723266, 0.3170122699123241, 3152005000000, 
1.5873068743037222, 0.0072956044517558105, 0.31726969262235394, 3152039000000, 
1.5891095234362185, 0.008297337909421998, 0.3175357813202222, 3152141000000, 
1.5896243756735728, 0.007725004566168832, 0.31773605156090085, 3152175000000, 
1.5905254847395234, 0.004719871011016341, 0.31795062558995435, 3152243000000, 
1.5912550445648086, 0.0054355629707858455, 0.3180936603318603, 3152311000000, 
1.591813444075786, 0.004293197787542298, 0.3182395982253412, 3152379000000, 
1.5920285552292164, 0.0025783688813592795, 0.3183398029246541, 3152413000000, 
1.5923304995981553, 0.0017235184078974914, 0.3184114999268772, 3152481000000, 
1.5924614903199692, 0.0014431169691760577, 0.31845470300982276, 3152549000000, 
1.5924235061171728, 0.00031002173005815575, 0.3184810330690198, 3152617000000, 
1.5922154908144162, -0.0008199983518434687, 0.31847336581677055, 3152685000000, 
1.591839688279764, -0.001946059458028948, 0.3184319123474236, 3152753000000, 
1.5915889874269518, -0.0020883446248813145, 0.3183762777680754, 3152787000000, 
1.590961655229866, -0.0029267768329936197, 0.31829268872910543, 3152855000000, 
1.5901676882784839, -0.004737663828226306, 0.31818122206235344, 3152923000000, 
1.5886680132122648, -0.007645473392003943, 0.31798649044804095, 3153025000000, 
1.5874640517911172, -0.009012121624555705, 0.3177533168854577, 3153093000000, 
1.5860986586310233, -0.008564515270805076, 0.3174820482422937, 3153161000000, 
1.5845724645674792, -0.009638624078793049, 0.31720901166597465, 3153229000000, 
1.5828863804133548, -0.01070759405889484, 0.31690383357412377, 3153297000000, 
1.5810428075011067, -0.011765523554575127, 0.31656677683212936, 3153365000000, 
1.5790431916142538, -0.012810629330336868, 0.3161981586352477, 3153433000000, 
1.575756338533756, -0.017621563224502108, 0.3157228225099411, 3153535000000, 
1.5733753332082951, -0.018892861353195418, 0.31521165755708697, 3153603000000, 
1.570844069676927, -0.0163742295227635, 0.31466504942793183, 3153671000000, 
1.566769860120673, -0.0220182436254072, 0.3140659508670597, 3153773000000, 
1.5638717137349087, -0.023241186473394276, 0.3134323762355006, 3153841000000, 
1.5608298375268415, -0.019800075312771764, 0.3127647607588282, 3153909000000, 
